log-tradeBuyQty-bid9                    : 0.016502767730718695
log-bid9-tradeBuyQty                    : -0.016502767730718695
nAddSell-nAddBuy                        : -0.0164924665556517
log-atr5_9-bsize0                       : -0.01648446785769762
log-bsize0-atr5_9                       : 0.016484467857697617
log-addBuyTurnover-lastpx               : 0.01648314667592872
log-lastpx-addBuyTurnover               : -0.01648314667592872
log-addBuyTurnover-low                  : 0.0164817392363809
log-low-addBuyTurnover                  : -0.016481739236380896
log-high-addBuyTurnover                 : -0.016471938601789235
log-addBuyTurnover-high                 : 0.01647193860178923
log-addBuyTurnover-open                 : 0.016462509245066214
log-open-addBuyTurnover                 : -0.01646250924506621
log-addSellQty-tradeBuyQty              : -0.016462276975682952
log-tradeBuyQty-addSellQty              : 0.01646227697568295
log-bid4-tradeBuyQty                    : -0.016450041692415034
log-tradeBuyQty-bid4                    : 0.016450041692415034
log-tradeBuyQty-bid0                    : 0.01641286395251242
log-bid0-tradeBuyQty                    : -0.016412863952512416
log-tradeBuyQty-midpx                   : 0.01641258385095351
log-midpx-tradeBuyQty                   : -0.01641258385095351
log-ask0-tradeBuyQty                    : -0.016412303758104332
log-tradeBuyQty-ask0                    : 0.016412303758104332
log-nTradeBuy-bid19                     : 0.01640440085132737
log-bid19-nTradeBuy                     : -0.01640440085132737
log-cxlSellLow-nTradeBuy                : -0.016403826651142317
log-nTradeBuy-cxlSellLow                : 0.016403826651142314
log-tradeBuyTurnover-cxlBuyTurnover     : 0.016398422841569706
log-cxlBuyTurnover-tradeBuyTurnover     : -0.016398422841569706
open-lastpx                             : 0.016384602777655296
log-addBuyQty-cxlBuyLow                 : 0.016378970453072756
log-cxlBuyLow-addBuyQty                 : -0.016378970453072753
log-ask4-tradeBuyQty                    : -0.01637395751535584
log-tradeBuyQty-ask4                    : 0.01637395751535584
log-bid9-nTradeBuy                      : -0.016359345422639445
log-nTradeBuy-bid9                      : 0.01635934542263944
asize10_19-bsize0_4                     : -0.016358154620420746
log-open-lastpx                         : 0.016356061642866435
log-lastpx-open                         : -0.01635606164286641
atr10_19-btr0_4                         : -0.016354452918189
log-addBuyTurnover-atr0_4               : 0.016353673829139118
log-atr0_4-addBuyTurnover               : -0.016353673829139114
log-lastpx-nTradeBuy                    : -0.016329100559005348
log-nTradeBuy-lastpx                    : 0.016329100559005348
log-nTradeBuy-low                       : 0.016327569752785747
log-low-nTradeBuy                       : -0.016327569752785747
lastpx-open                             : -0.01632739709406585
log-nTradeBuy-high                      : 0.01631614610726697
log-high-nTradeBuy                      : -0.01631614610726697
log-tradeBuyTurnover-atr5_9             : 0.01631487131642682
log-atr5_9-tradeBuyTurnover             : -0.01631487131642682
log-nTradeBuy-open                      : 0.016305494373582446
log-open-nTradeBuy                      : -0.016305494373582446
log-bid4-nTradeBuy                      : -0.016276819669896747
log-nTradeBuy-bid4                      : 0.016276819669896744
log-tradeBuyQty-ask9                    : 0.01627572442807063
log-ask9-tradeBuyQty                    : -0.016275724428070626
log-asize0_4-addBuyQty                  : -0.016266715446981023
log-addBuyQty-asize0_4                  : 0.016266715446981023
log-nTradeBuy-bid0                      : 0.016219127298594135
log-bid0-nTradeBuy                      : -0.016219127298594135
log-nTradeBuy-midpx                     : 0.016218742081020286
log-midpx-nTradeBuy                     : -0.016218742081020286
log-ask0-nTradeBuy                      : -0.016218356488077595
log-nTradeBuy-ask0                      : 0.016218356488077595
log-nTradeBuy-cxlSellHigh               : 0.016184980365019953
log-cxlSellHigh-nTradeBuy               : -0.01618498036501995
log-cxlSellLow-addBuyQty                : -0.016181286987610545
log-addBuyQty-cxlSellLow                : 0.016181286987610538
log-tradeBuyQty-ask19                   : 0.016178127551305516
log-ask19-tradeBuyQty                   : -0.016178127551305512
addSellQty-atr0_4                       : 0.016170147532782543
log-nTradeBuy-ask4                      : 0.01615577103038293
log-ask4-nTradeBuy                      : -0.016155771030382928
log-tradeBuyTurnover-nAddSell           : 0.01614748276104442
log-nAddSell-tradeBuyTurnover           : -0.01614748276104442
nTradeSell-atr0_4                       : 0.01613009501164429
log-addBuyQty-lastpx                    : 0.01602636265113429
log-lastpx-addBuyQty                    : -0.01602636265113429
log-addBuyQty-low                       : 0.016025936115522554
log-low-addBuyQty                       : -0.01602593611552255
log-tradeBuyQty-addBuyHigh              : 0.016019371861381207
log-addBuyHigh-tradeBuyQty              : -0.016019371861381203
log-atr10_19-nTradeSell                 : -0.01601856967943061
log-nTradeSell-atr10_19                 : 0.01601856967943061
log-high-addBuyQty                      : -0.01601570151839336
log-addBuyQty-high                      : 0.01601570151839336
log-open-addBuyQty                      : -0.016007970252622548
log-addBuyQty-open                      : 0.016007970252622544
log-addBuyQty-cxlSellHigh               : 0.016006184578820103
log-cxlSellHigh-addBuyQty               : -0.0160061845788201
low-high                                : -0.01599993738293158
